,Возврат и обмен,Доставка,Оплата,Спам,Техническая ошибка
Возврат и обмен,21,1,1,0,0
Доставка,0,32,0,0,0
Оплата,0,0,36,0,3
Спам,1,0,3,14,1
Техническая ошибка,0,0,1,0,30
